product_id,product_title,predicted_rating,actual_rating,discounted_price,original_price,total_reviews,is_best_seller,discount_percentage,user_id
23,"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-in Microphone for Clear Calls and Alexa Voice Control, Black",0.10270854124557491,4.5,79.99,85.99,36499.0,No Badge,0.0,17
116,"UBeesize 72"" Phone Tripod - Tripod for iPhone & Selfie Stick with Phone Holder & Remote - Upgraded, Stable & Portable Stand for iPhone 16/15/14, Android, Cameras & Action Cams",0.10015460889349269,4.5,29.69,32.99,291.0,No Badge,10.0,17
124,klipsch Reference Premiere RP-8000F II Ebony Floorstanding Speaker,0.09781402880086966,4.6,549.99,549.99,93.0,No Badge,0.0,17
50,G.SKILL Trident Z5 Neo RGB Series (AMD Expo) DDR5 RAM 64GB (2X 32GB) 6000MT/s CL26-36-36-96 1.45V Desktop Computer Memory U-DIMM - Black (F5-6000J2636H32GX2-TZ5NR),1.004810287930075,5.0,356.39,356.39,24.0,No Badge,0.0,18
52,"Gigabyte Radeon RX 9060 XT Gaming OC 16G Graphics Card - 16GB GDDR6, 128bit, PCI-E 5.0, 3320 MHz Core Clock, 2 x DisplayPort, 1 x HDMI, GV-R9060XTGAMING OC-16GD",0.8207244981850021,4.6,410.0,410.0,118.0,No Badge,0.0,18
32,Celestron – Origin Intelligent Home Observatory – All-in-one Astroimaging and Stargazing Smart Telescope – 6-inch RASA Telescope – Fully-Automated GoTo Mount – User-Friendly – iOS/Android Compatible,0.7184652675526619,4.4,3797.85,3797.85,25.0,No Badge,0.0,18
84,NIKON Z TELECONVERTER TC-2.0X for 2.0X Magnification of Compatible Nikon Z Mirrorless Lenses and Nikon Z Cameras,0.4498435865139474,4.2,599.95,599.95,186.0,No Badge,0.0,18
80,Motorola 56531 Multi Unit Charger / Cloning Station,0.37438729757209877,4.3,199.99,199.99,105.0,No Badge,0.0,18
85,"NOCO NUSB211NA 10W USB Power Adapter, 2.1A 5V Wall Charger and Compatible, Apple, Samsung, Google, Amazon Devices",0.345847257510218,4.7,9.95,9.95,5591.0,No Badge,0.0,18
69,Kicker 46CXA3604 CXA3604-4x90-Watt 4-Channel Full-Range Amp,0.31929989825569455,4.7,206.96,206.96,353.0,No Badge,0.0,18
8,ASURION 3 Year Headphones Protection Plan ($50 - $59.99),0.27626621579320476,4.5,10.99,10.99,57.0,No Badge,0.0,18
102,"Sanus Wireless Speaker Stands for Sonos ERA 300™ (Black) - Pair, Perfect Stand Setup for Easy and Secure Mounting of New Sonos Era 300™ Speakers - OSSE32-B2",0.21201264437847395,4.7,199.99,199.99,209.0,No Badge,0.0,18
100,"SanDisk 32GB Ultra SDHC UHS-I Class 10 Camera Card 120MB/s U1, Full HD, SD. C10 SDSDUN4-032G (10 Pack) Bundle with (1) GoRAM USB 3.0 Reader (32GB)",0.18563159359064732,4.9,76.99,76.99,39.0,No Badge,0.0,18
89,"PIONEER A-Series Plus TS-A6971F 6” x 9” 4-Way Speakers (Pair) – 600W Max, Balanced Sound + Smooth Treble, Enhanced Bass, Ideal Factory Upgrade, Installation Adaptors Included",1.0168187962423834,4.6,71.89,109.99,73.0,No Badge,34.64,21
7,ASURION 3 Year Furniture Protection Plan ($800 - $899.99),0.7110102854150879,4.5,169.99,169.99,381.0,No Badge,0.0,21
103,Sennheiser HD 25 Monitor Headphones with Headphone Case & Padded Holder Bundle,0.6829248745930576,4.3,149.95,149.95,93.0,No Badge,0.0,21
61,"HP ScanJet Pro 3000 s4 (6FW07A) 40ppm USB 3.0 Color Duplex Scanner with 50-page ADF for Documents, Photos, Receipts, and Cards. TWAIN/ISIS drivers included",0.6409076518144019,3.7,216.66,216.66,76.0,No Badge,0.0,21
38,Duracell Precharged Recharg. Battery AA (Pack of 2),0.35224943341799586,4.5,25.99,25.99,317.0,No Badge,0.0,21
82,"NEEWER Photography Light Stand, 7 Feet / 210cm Aluminum Alloy Photo Studio Tripod Stands for Video, Portrait and Photography Lighting, Reflectors, Soft Boxes, Umbrellas, Backgrounds (2 Pieces)",0.25027599433430747,4.4,29.99,40.99,1260.0,No Badge,26.84,21
83,NIKON Z TELECONVERTER TC-1.4X for 1.4X Magnification of Compatible Nikon Z Mirrorless Lenses and Nikon Z Cameras,0.21777750724681555,4.6,479.99,479.99,104.0,No Badge,0.0,21
101,"Sanus Height Adjustable Speaker Stand for Sonos Era 300™ - 17"" Height Adjustment Sonos Stand Includes Carpet Spikes & Rubber Pads - Easy DIY Install Comes w/All Hardware - White",0.21328755471623412,4.4,179.99,179.99,45.0,No Badge,0.0,21
20,"BCW Vinyl Record Storage Boxes – 10 Pack | Holds 65 LPs Each | Stackable Vinyl Record Storage Box with Reinforced Bottom & Handles | Archival Record Organizer for 12-Inch Albums, DJs & Collectors",0.2102999348606417,4.6,93.99,93.99,340.0,No Badge,0.0,21
4,"ASRock AMD B850 Steel Legend WiFi 7 Socket AM5 Ryzen 9000, 8000 and 7000 Series DDR5 up to 8000+ (OC) MHz 256GB ATX Motherboard M.2 SATA3 6.0 Gb/s PCIe 5.0 1 HDMI",0.20037790228204733,4.4,205.49,205.49,35.0,No Badge,0.0,21
32,Celestron – Origin Intelligent Home Observatory – All-in-one Astroimaging and Stargazing Smart Telescope – 6-inch RASA Telescope – Fully-Automated GoTo Mount – User-Friendly – iOS/Android Compatible,0.9203843783130441,4.4,3797.85,3797.85,25.0,No Badge,0.0,22
99,"SAMSUNG Odyssey G5 Series 27-Inch WQHD (2560x1440) Gaming Monitor, 144Hz, Curved, 1ms, HDMI, Display Port, FreeSync Premium (LC27G55TQWNXZA)",0.8766467943935821,4.4,219.0,219.0,2319.0,No Badge,0.0,22
30,"Canon CLI-251XL Genuine Yellow Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",0.8236394372273114,4.8,21.99,23.99,944.0,No Badge,8.34,22
120,"VIVO Magnetic 13 to 34 inch Monitor Mount for Steel Surfaces, Holds up to 17.6 lbs on Surfaces Over 1.5mm Thick, Black, MOUNT-MAG01",0.7839690016691534,4.9,39.99,39.99,26.0,No Badge,0.0,22
48,"Fujifilm Instax Mini 100 Film for Fuji 7S 8 25 50S 90 300 Instant Camera, Share SP-1 White, Pack of 5",0.6694105638964176,4.8,118.99,118.99,1895.0,No Badge,0.0,22
17,"Avery Customizable Name Tags, 2-1/3"" x 3-3/8"", White with Red Border, 100 Removable Name Badges (05143)",0.5371092256150128,4.8,7.29,7.29,5525.0,No Badge,0.0,22
73,"Lenovo USI Stylus Pen, Chrome OS Support, 4,096 Levels of Pressure Sensitivity, 150 Days Battery Life, AAAA Battery, Works with Chromebook, GX81B10212,Grey",0.44266330148201416,3.9,29.99,43.99,1702.0,No Badge,31.83,22
34,"Dell Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",0.3656437171265609,4.2,369.0,369.0,507.0,Amazon's,0.0,22
